Image_name;Cell_id;RgbMean_r;RgbMean_g;RgbMean_b;Canny_thresh_10;Canny_thresh_15;Canny_thresh_20;Canny_thresh_25;Canny_thresh_30;Canny_thresh_35;Canny_thresh_40;Canny_thresh_45;Canny_thresh_50;Canny_thresh_55;Canny_thresh_60;Canny_thresh_65;Canny_thresh_70;Canny_thresh_75;Canny_thresh_80;Canny_thresh_85;Canny_thresh_90;Canny_thresh_95;Canny_thresh_100;Mean;Modus;Mean_dev;Modus_dev;Harris_Q0.02_D5;Harris_Q0.02_D10;Harris_Q0.02_D20;Harris_Q0.16_D5;Harris_Q0.16_D10;Harris_Q0.16_D20;Road;Main_road;Laws_W7_b;Laws_W7_o;Laws_W7_r;Laws_W7_v_r;Laws_W7_v_u;Laws_W11_b;Laws_W11_o;Laws_W11_r;Laws_W11_v_r;Laws_W11_v_u;Laws_W15_b;Laws_W15_o;Laws_W15_r;Laws_W15_v_r;Laws_W15_v_u;Laws_W31_b;Laws_W31_o;Laws_W31_r;Laws_W31_v_r;Laws_W31_v_u;b;v;r
47.4666565|21.716611;57;63.1753;101.543;100.428;640;413;262;223;194;169;150;147;134;121;74;52;50;33;33;7;7;0;0;178.632;177;4.49935;4.78622;1;1;1;0;0;0;0;0;0;0;0;179;3665;0;0;0;200;3644;0;0;0;68;3776;0;0;0;52;3792;0;2;0
47.4666565|21.716611;58;92.4136;115.233;116.586;1062;1027;925;890;865;844;806;778;731;676;591;558;492;481;389;367;358;348;330;181.959;180;11.0632;11.3652;27;12;4;6;5;2;55;0;1149;0;0;806;1889;1186;0;0;782;1876;1381;0;0;570;1893;2010;0;0;999;835;1;2;0
47.4666565|21.716611;59;45.7986;75.514;85.2906;1009;969;883;837;753;717;643;591;513;445;380;301;185;173;151;139;134;98;81;193.93;196;7.34516;7.52913;25;12;6;1;1;1;457;0;162;0;0;3593;89;224;0;0;3552;68;227;0;0;3538;79;185;0;0;3484;175;0;2;0
47.4666565|21.716611;60;42.3515;71.8983;84.192;1089;1070;993;934;869;814;734;694;580;572;481;420;329;257;154;128;87;87;62;197.7;198;4.28483;4.28876;23;10;4;0;0;0;0;0;0;0;0;3706;138;0;0;0;3813;31;0;0;0;3843;1;0;0;0;3819;25;0;2;0
47.4666565|21.716611;61;52.071;79.596;88.4571;985;955;874;819;778;756;654;601;582;545;469;442;338;328;316;274;229;223;155;193.902;199;8.33212;9.76825;25;13;5;0;0;0;364;0;0;0;0;2757;1087;0;0;0;2959;885;0;0;0;2763;1081;0;0;0;2749;1095;0;2;0
47.4666565|21.716611;62;75.8535;102.161;103.284;784;613;526;508;444;316;303;292;280;261;236;236;226;205;202;199;178;175;173;181.702;180;9.95833;10.1185;9;4;1;0;0;0;479;0;0;0;0;694;3150;0;0;0;768;3076;0;0;0;618;3226;0;0;0;613;3231;0;2;0
47.4666565|21.716611;63;79.98;105.936;105.653;787;730;635;572;424;395;363;201;140;139;111;111;110;110;105;105;95;95;95;179.826;180;10.6234;10.6248;5;3;1;2;2;0;209;0;14;0;0;280;3550;2;0;0;307;3535;15;0;0;142;3687;138;0;0;234;3472;0;2;0
47.4666565|21.716611;64;85.5822;122.925;116.635;890;673;555;438;412;387;364;352;319;312;299;296;241;237;207;170;140;120;115;171.366;169;7.91182;8.25804;14;8;3;1;1;1;0;0;472;0;0;70;3302;266;0;0;39;3539;301;0;0;2;3541;943;0;0;38;2863;1;2;0
47.4666565|21.716611;65;84.8296;117.379;114.229;751;428;320;266;247;241;239;226;215;212;184;181;138;134;100;99;99;76;72;173.835;173;13.3433;13.3694;4;2;2;1;1;1;0;0;297;0;0;21;3526;191;0;0;0;3653;188;0;0;0;3656;525;0;0;0;3319;1;2;0
47.4666565|21.716611;66;76.0572;106.972;106.445;715;448;214;122;70;46;44;35;0;0;0;0;0;0;0;0;0;0;0;179.416;180;6.03085;6.05902;0;0;0;0;0;0;0;0;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;0;0;0;3844;0;2;0
